"type","certified","body","make","model","trim","mileage","price","year","dealer","city","rating","reviews","badge"
"New",0,"Wagon","Volvo","V60 Cross Country","T5",14,48290,2020,"Volvo Cars of Orange County","Santa Ana",3.6,78,
"New",0,"Sedan","Honda","Insight","Touring",11,29295,2020,"AutoNation Honda Costa Mesa","Costa Mesa",4.7,527,
"New",0,"Coupe","Cadillac","ATS","2.0L Turbo",0,34990,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"Cargo Van","Ford","Transit-150","Base",68,27579,2019,"Theodore Robins Ford","Costa Mesa",2.3,335,
"Used",0,"Coupe","Mitsubishi","Eclipse","GT",100545,4988,2002,"AutoNation Honda Costa Mesa","Costa Mesa",4.7,527,"Good Deal"
"New",0,"SUV","GMC","Acadia","Denali",2,37692,2019,"Tustin Buick GMC","Tustin",5,13,
"Used",0,"Hatchback","BMW","640 Gran Turismo","i xDrive",13509,42900,2018,"California Beemers","Costa Mesa",4.5,36,"Good Deal"
"New",0,"SUV","GMC","Terrain","SLE",5,22386,2020,"Tustin Buick GMC","Tustin",5,13,
"Used",0,"Sedan","Bentley","Mulsanne","Speed",1449,194500,2018,"Bentley of Newport Beach","Newport Beach",0,255,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SV",0,21690,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"Used",0,"SUV","Ford","Flex","SEL",112525,7777,2010,"Nash Auto","Costa Mesa",4.6,132,"Great Deal"
"New",0,"SUV","Chevrolet","Trax","LS",4,16969,2020,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"Sedan","Cadillac","CT5","Premium Luxury RWD",0,45467,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","GMC","Acadia","SLT",2,35562,2020,"Tustin Buick GMC","Tustin",5,13,
"Used",0,"Coupe","Lamborghini","Huracan EVO","",1545,279888,2020,"Ferrari Maserati of Newport Beach","Newport Beach",5,112,"Great Deal"
"Used",0,"Sedan","Nissan","Sentra","SR",75690,7199,2014,"California Motors Direct","Santa Ana",1.5,186,"Good Deal"
"Used",0,"Coupe","Maserati","GranTurismo","S Automatic",46394,29699,2012,"California Motors Direct","Santa Ana",1.5,186,"Great Deal"
"Used",0,"Minivan","Chrysler","Pacifica","Touring Plus",37202,19199,2018,"California Motors Direct","Santa Ana",1.5,186,"Great Deal"
"New",0,"Convertible","Aston Martin","DBS","Superleggera Volante",175,391231,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"Used",0,"Sedan","Lincoln","MKZ Hybrid","Base",65999,9999,2011,"California Motors Direct","Santa Ana",1.5,186,"Good Deal"
"New",0,"Sedan","Mazda","Mazda6","Grand Touring",0,30920,2020,"Tuttle-Click Mazda","Irvine",4,28,
"New",0,"SUV","Ford","EcoSport","Titanium",3,27360,2020,"Huntington Beach Ford","Huntington Beach",3.3,470,
"Used",0,"Sedan","Lexus","GS 200t","NAVIGATION",34380,24995,2016,"Deluxe Auto Dealer","Midway City",4,133,"Good Deal"
"Used",0,"Coupe","Nissan","GT-R","Premium",10890,65000,2016,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"Used",0,"SUV","Dodge","Journey","Crossroad",40021,15500,2018,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Good Deal"
"New",0,"SUV","Buick","Envision","Premium II",6,36587,2019,"Hardin Buick GMC","Anaheim",4.6,438,
"New",0,"SUV","Ford","EcoSport","SES",18,24725,2020,"Villa Ford of Orange","Orange",3.8,15,
"New",0,"Sedan","Hyundai","Accent","SE",9,17595,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"New",0,"Hatchback","Hyundai",,"Limited",0,31760,2019,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"Used",0,"Hatchback","Audi","A3","2.0 TDI Premium",62767,8899,2011,"California Motors Direct","Stanton",2.9,177,"Good Deal"
"New",0,"Wagon","Volvo","V90","T5 R-Design",0,49996,2019,"Volvo Cars Mission Viejo","Mission Viejo",4.2,32,
"Used",0,"SUV","Chevrolet","Trax","LS",8023,10699,2017,"OC Auto Exchange","Fullerton",1,116,
"New",0,"Sedan","BMW",,"740i",12,98000,2020,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Sedan","BMW",,"740i",11,95645,2020,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Sedan","BMW",,"330i",34,47075,2019,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Sedan","BMW",,"740i",14,95845,2020,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Coupe","BMW",,"430i",18,47595,2020,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Coupe","BMW",,"430i",9,47595,2020,"BMW of Buena Park","Buena Park",4.2,389,
"New",0,"Coupe","BMW",,"430i",18,47185,2020,"BMW of Buena Park","Buena Park",4.2,389,
"Used",0,"Wagon","Chevrolet","HHR","LT",38125,7981,2006,"Auto Republic Fullerton","Fullerton",2.8,40,"Fair Price"
"New",0,"SUV","Nissan","Kicks","SR",25,20804,2020,"Buena Park Nissan","Buena Park",5,28,
"Used",0,"Coupe","Mazda","RX-8","Sport Automatic",80080,6995,2004,"ZRV Auto Inc.","Brea",4.1,63,"Fair Price"
"New",0,"SUV","Nissan","Kicks","SR",5,24845,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",5,22715,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",5,24845,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",5,22505,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",21,24845,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",14,22505,2020,"Cerritos Nissan","Cerritos",5,16,
"Used",0,"SUV","Jeep","Wrangler Unlimited","Sport",46237,25990,2019,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,"Great Deal"
"New",0,"SUV","Mitsubishi","Outlander PHEV","GT",2,37335,2019,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,
"Used",0,"Minivan","Kia","Sedona","SX",60834,17500,2016,"M Motorsport","Long Beach",2.7,26,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SR",5,22495,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",6,21755,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SV",6,17575,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SV",6,21520,2020,"Cerritos Nissan","Cerritos",5,16,
"Used",0,"SUV","Chevrolet","Traverse","LS",17787,17900,2017,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SR",5,22100,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","GMC","Terrain","SLT",16,27001,2020,"Penske Buick GMC of Cerritos","Cerritos",4.4,35,
"New",0,"SUV","Chevrolet","Trax","LS",3,19705,2020,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,
"New",0,"Cargo Van","Mercedes-Benz","Sprinter 1500","Standard Roof",15,37285,2019,"Mercedes-Benz of Long Beach","Signal Hill",4.8,51,
"New",0,"Cargo Van","Mercedes-Benz","Sprinter 1500","Standard Roof",10,38300,2019,"Mercedes-Benz of Long Beach","Signal Hill",4.8,51,
"Used",0,"Sedan","Lincoln","MKZ Hybrid","Reserve",38585,19769,2017,"EchoPark Automotive Long Beach","Signal Hill",5,2,"Good Deal"
"Used",1,"Wagon","Porsche","Panamera Sport Turismo","4",3169,82989,2018,"McKenna Porsche","Norwalk",0,43,"Good Deal"
"New",0,"Sedan","Ford","Fusion Hybrid","SE",10,22500,2020,"Puente Hills Ford","City of Industry",4.4,196,
"Used",1,"Sedan","BMW","640 Gran Coupe","i",38659,39477,2017,"McKenna BMW","Norwalk",4.9,464,"Good Deal"
"Used",0,"Coupe","Hyundai","Genesis Coupe","3.8 Base",45442,14450,2015,"Shift Los Angeles","Whittier",2.3,32,"Good Deal"
"Used",0,"Sedan","BMW","530","i",20299,33999,2019,"Puente Hills Ford","City of Industry",4.4,196,"Great Deal"
"Used",0,"Cargo Van","Nissan",,"SV",78592,21995,2012,"Norco Truck Center","Norco",1.8,19,"Fair Price"
"Used",0,"Minivan","Honda","Odyssey","LX",40295,16997,2016,"Champion Chrysler Jeep Dodge RAM","Downey",3.6,100,"Good Deal"
"Used",0,,"Chevrolet",,"LT",100196,14995,2014,"Norco Truck Center","Norco",1.8,19,"Good Deal"
"Used",0,"Convertible","Jaguar","XK","Base",49504,26997,2013,"Champion Chrysler Jeep Dodge RAM","Downey",3.6,100,"Good Deal"
"Used",0,"Cargo Van","RAM","ProMaster 2500","High Roof",60533,23995,2017,"Norco Truck Center","Norco",1.8,19,"Good Deal"
"Used",0,"Cargo Van","Mercedes-Benz",,"BASE",79827,29995,2013,"Norco Truck Center","Norco",1.8,19,"Fair Price"
"New",0,"Sedan","Chevrolet","Malibu","RS",0,20006,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Wagon","Chevrolet","Bolt EV","Premier",0,30224,2020,"Win Chevrolet","Carson",3.6,213,
"Used",0,"Hatchback","Audi","A7","3.0T Premium Plus",30552,39999,2017,"Ournextcar, LLC","Downey",3,21,
"Used",0,"Sedan","INFINITI","Q50","3.0T Premium",37399,16999,2017,"Ournextcar, LLC","Downey",3,21,
"New",0,"SUV","Nissan","Kicks","SV",4,24690,2020,"Carson Nissan","Carson",4.8,3428,
"New",0,"SUV","Mercedes-Benz","GLS 580","Base 4MATIC",15,108960,2020,"Envision Mercedes-Benz of West Covina","West Covina",0,0,
"Used",0,"SUV","Toyota","Venza","LE",53466,13199,2014,"LA Auto Exchange #1","West Covina",1.4,21,"Good Deal"
"New",0,"Sedan","Honda","Accord","Sport 1.5T",0,28155,2020,"Norm Reeves Honda Superstore - West Covina","West Covina",4.8,585,
"Used",0,"Coupe","Lexus","RC F","Base",42568,37500,2015,"Vista Motors","Ontario",1.5,44,"Good Deal"
"Used",0,"Crew Cab Pickup","Cadillac","Escalade EXT","",90766,19450,2008,"St. Mina Auto Sales","Montclair",4.5,38,"Good Deal"
"Used",0,"Passenger Van","Mercedes-Benz","Sprinter 2500","Standard Roof",7095,48995,2018,"South Bay Pre-Owned","Lomita",4,30,
"Used",0,"Sedan","Audi","A4","2.0T Premium",35969,15699,2016,"California Motors Direct - Montclair","Montclair",1.6,36,
"Used",0,"Sedan","Nissan","Sentra","S",100297,4999,2013,"Vista Motors","Ontario",1.5,44,"Great Deal"
"New",0,"SUV","Jaguar","I-PACE","S",22,69929,2019,"Jaguar Land Rover South Bay","Torrance",4.6,184,
"Used",0,"SUV","Lincoln","Nautilus","Reserve",6040,38600,2019,"South Bay Lexus","Torrance",4.4,531,"Good Deal"
"New",0,"SUV","Nissan","Kicks","SV",5,21498,2020,"Ross Nissan","El Monte",2.5,41,
"New",0,"Sedan","Nissan","Versa","S",0,17715,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"Used",0,"SUV","Hummer","H3","",156476,8500,2006,"Fiesta Motors","Ontario",5,14,"Fair Price"
"New",0,"SUV","Nissan","Rogue","SL",0,33977,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Jaguar","I-PACE","SE",20,81030,2019,"Jaguar Land Rover South Bay","Torrance",4.6,184,
"Used",0,"SUV","Hummer","H2","",165615,12985,2005,"You Drive Inc","El Monte",0,0,"Great Deal"
"New",0,"SUV","Volkswagen","Atlas Cross Sport","3.6L V6 SEL Premium",0,49830,2020,"Volkswagen South Coast","Santa Ana",3.7,264,
"Used",0,"Coupe","BMW","M850","i xDrive",1618,84900,2019,"California Beemers","Costa Mesa",4.5,36,"Good Deal"
"New",0,"SUV","BMW","X6 M","Competition",10,127295,2020,"Crevier BMW","Santa Ana",3.6,310,
"Used",0,"SUV","Nissan","Rogue Hybrid","SV",28659,23300,2017,"Carvana-Touchless Delivery To Your Home","Irvine",4.4,1941,"Good Deal"
"Used",0,"Sedan","Kia","Rio","S",17352,13790,2019,"Carvana-Touchless Delivery To Your Home","Irvine",4.4,1941,"Good Deal"
"Used",0,"Sedan","Lexus","HS 250h","Premium",79754,14900,2011,"Carvana-Touchless Delivery To Your Home","Irvine",4.4,1941,"Good Deal"
"Used",0,"Coupe","Lamborghini",,"S",5800,369900,2018,"Newport Beach Automotive Group","Irvine",0,3,"Fair Price"
"New",0,"SUV","Nissan","Rogue","SL",0,35640,2019,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"Cargo Van","Chevrolet","Express 2500","Work Van",109,77811,2019,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"SUV","Cadillac","XT5","Luxury",0,42762,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",0,38485,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Nissan","Rogue","SL",0,35070,2019,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Nissan","Rogue","SL",0,33250,2019,"Nissan of Costa Mesa","Costa Mesa",0,0,
"Used",0,"Sedan","Audi","S6","4.0T quattro Premium Plus",27049,44880,2016,"Rosso Corsa","Costa Mesa",5,25,"Good Deal"
"New",0,"SUV","Chevrolet","Trax","LS",4,16969,2020,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"Coupe","Aston Martin","DB11","AMR",85,270376,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"Used",0,"Sedan","Nissan","Versa","1.6 S+",64891,5499,2015,"California Motors Direct","Santa Ana",1.5,186,"Great Deal"
"New",0,"Convertible","Aston Martin","DB11","Volante",97,255556,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"New",0,"Coupe","Aston Martin","DB11","V8",145,247096,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"Used",0,"Minivan","Kia","Sedona","EX",25324,25495,2019,"Kia of Irvine","Irvine",4.5,362,"Good Deal"
"New",0,"SUV","Ford","EcoSport","SE",3,25540,2020,"Huntington Beach Ford","Huntington Beach",3.3,470,
"New",0,"SUV","Ford","EcoSport","SE",3,25540,2020,"Huntington Beach Ford","Huntington Beach",3.3,470,
"Used",0,"Coupe","Scion","tC","Release Series 9.0",46304,12988,2015,"Toyota of Huntington Beach","Huntington Beach",3.7,3,"Good Deal"
"New",0,"Sedan","Kia","Optima Hybrid","EX",14,23516,2020,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"Sedan","Kia","Forte","EX",50,19129,2018,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"SUV","Nissan","Rogue Sport","SV",2,22391,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Kia","Rio","S",18,15742,2019,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"SUV","Nissan","Rogue Sport","SV",4,23520,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Crew Cab Pickup","Nissan","Titan","Platinum Reserve",10,46248,2019,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"SUV","Ford","EcoSport","Titanium",3,27755,2020,"Huntington Beach Ford","Huntington Beach",3.3,470,
"New",0,"Crew Cab Pickup","RAM","1500 Classic","Tradesman",2,31005,2019,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,
"Used",0,"Sedan","Toyota","Corolla","LE ECO",57106,11000,2017,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"Used",0,"Sedan","BMW","740","i",21110,29980,2016,"OC Auto Club","Midway City",5,3,
"Used",0,"Sedan","Genesis","G70","2.0T Advanced",4831,32892,2019,"Huntington Beach Hyundai","Huntington Beach",4.4,402,"Good Deal"
"Used",0,"Hatchback","Toyota","Matrix","",95199,5895,2007,"TM Motors","Anaheim",0,4,"Fair Price"
"Used",0,"Coupe","Mazda","RX-8","Grand Touring",107260,4600,2007,"Vision Hankook Motors, Inc.","Garden Grove",3,26,"Good Deal"
"New",0,"SUV","Ford","Escape","SE Sport Hybrid",20,29505,2020,"Villa Ford of Orange","Orange",3.8,15,
"New",0,"SUV","Lexus",,"",7,38698,2019,"South County Lexus","Mission Viejo",4.9,2639,
"Used",0,"SUV","Jeep","Liberty","Limited",114777,4199,2005,"OC Auto Exchange","Fullerton",1,116,"Good Deal"
"New",0,"SUV","Nissan","Kicks","SV",25,20479,2020,"Buena Park Nissan","Buena Park",5,28,
"Used",0,"SUV","Lincoln","Navigator L","Select",19890,64995,2019,"Maserati and Alfa Romeo of Anaheim Hills","Yorba Linda",1,5,"Good Deal"
"Used",0,"Wagon","Honda","Accord Crosstour","EX-L",115248,10981,2010,"Auto Republic Fullerton","Fullerton",2.8,40,"Fair Price"
"Used",0,"Minivan","Ford","Aerostar","",123896,1790,1990,"American Motors","Fullerton",4.3,41,
"Used",0,"SUV","Dodge","Journey","SE",55417,11481,2015,"Auto Republic Fullerton","Fullerton",2.8,40,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SV",25,22178,2020,"Buena Park Nissan","Buena Park",5,28,
"Used",0,"Crew Cab Pickup","Cadillac","Escalade EXT","",64732,21981,2008,"Auto Republic Fullerton","Fullerton",2.8,40,"Fair Price"
"Used",0,"SUV","Jeep","Patriot","Sport",77349,6990,2014,"American Motors","Fullerton",4.3,41,
"Used",0,"Coupe","Ford","Shelby GT350","Base",52698,38995,2016,"California Car Company","Brea",4,14,"Good Deal"
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18410,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18475,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18870,2020,"Cerritos Nissan","Cerritos",5,16,
"Used",0,"Minivan","Kia","Sedona","SX-L",21117,24699,2016,"AutoNation Toyota Cerritos","Cerritos",4.3,916,"Good Deal"
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18635,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",5,18110,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18410,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",5,18710,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SV",6,17510,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",5,18110,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18410,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",6,18110,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Sedan","Nissan","Versa","1.6 SR",5,18110,2020,"Cerritos Nissan","Cerritos",5,16,
"Used",0,"Sedan","Kia","Optima","LX",38824,10999,2017,"M Motorsport","Long Beach",2.7,26,
"New",0,"SUV","Mitsubishi","Outlander PHEV","SEL",7,31756,2019,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,
"Used",0,"Sedan","Volkswagen","Passat","2.0 TDI SE",47454,11995,2013,"Diamond Auto Exchange","Corona",0,22,
"New",0,"Hatchback","Hyundai","Ioniq Hybrid","Limited",14,31945,2019,"Puente Hills Hyundai","City of Industry",4.8,719,
"New",0,"Sedan","Mazda","Mazda6","Signature",10,35440,2020,"Puente Hills Mazda","City of Industry",5,1,
"New",0,"Crew Cab Pickup","Nissan","Titan","SV",5,33845,2019,"Puente Hills Nissan","City of Industry",4.3,37,
"New",0,"SUV","Nissan","Kicks","SR",5,21283,2020,"Puente Hills Nissan","City of Industry",4.3,37,
"New",0,"SUV","Chevrolet","Trax","LS",3,17977,2020,"Chevrolet of Puente Hills","City of Industry",0,0,
"New",0,"SUV","Chevrolet","Trax","LS",3,16977,2020,"Chevrolet of Puente Hills","City of Industry",0,0,
"Used",0,"Hatchback","Kia","Soul","!",18160,14699,2018,"Corona Motors Direct","Norco",1.6,12,"Great Deal"
"New",0,"SUV","Chevrolet","Trax","LS",17,14161,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Chevrolet","Trax","LS",1,14161,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Sedan","Chevrolet","Malibu","1LS",2,17999,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Chevrolet","Equinox","LS",0,17900,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Chevrolet","Trax","LT",10,20087,2020,"MK Smith Chevrolet","Chino",4.1,263,
"Used",0,"SUV","Chevrolet","Equinox","LS",17767,17000,2018,"MK Smith Chevrolet","Chino",4.1,263,"Great Deal"
"Used",0,"SUV","Volkswagen","Tiguan","2.0T Sport",32357,15499,2017,"California Motor Trade","Downey",2.5,11,
"Used",0,"Sedan","Nissan","Altima","2.5 S",62265,10199,2017,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Sedan","Hyundai","Elantra","Value Edition",51768,10199,2016,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Coupe","Lexus","RC F","Base",51150,33199,2015,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Sedan","Nissan","Sentra","S",42831,10199,2018,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Sedan","Nissan","Sentra","2.0 SR",66433,6499,2012,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"SUV","Dodge","Journey","SXT",63932,9699,2016,"LA Auto Exchange #2","El Monte",5,4,
"New",0,"SUV","Jeep","Grand Cherokee","Laredo E",2,28800,2020,"West Covina Chrysler Dodge Jeep Ram","West Covina",1.3,17,
"Used",0,"Hatchback","Honda","Civic Type R","Touring",31998,29699,2018,"California Motors Direct - Montclair","Montclair",1.6,36,"Great Deal"
"Used",0,"SUV","Chevrolet","Equinox","1LT",46829,13499,2018,"California Motors Direct - Montclair","Montclair",1.6,36,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SV",5,21748,2020,"Ross Nissan","El Monte",2.5,41,
"Used",0,"Minivan","Chrysler","Pacifica","Touring-L",31921,20897,2018,"DriveTime Riverside","Riverside",0,0,"Great Deal"
"Used",0,"Sedan","Nissan","Versa","1.6 SV",76131,6600,2016,"Blok Charity Auto Clearance","Gardena",5,32,
"New",0,"SUV","Nissan","Kicks","SR",0,23350,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Nissan","Kicks","SR",0,23500,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Nissan","Kicks","SV",0,22735,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"Used",0,"Coupe","Toyota","Celica","GTS",125709,5985,2000,"You Drive Inc","El Monte",0,0,"Fair Price"
"New",0,"Sedan","Nissan","Versa","S",0,16045,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"Used",0,"SUV","Dodge","Journey","SE",84252,7700,2013,"Cars Direct","Ontario",0,0,"Great Deal"
"Used",0,"Sedan","Rolls-Royce","Ghost","",33210,118888,2013,"OC Autosource","Costa Mesa",5,43,"Good Deal"
"New",0,"Wagon","Volvo","V60 Cross Country","T5",15,48100,2020,"Volvo Cars of Orange County","Santa Ana",3.6,78,
"New",0,"SUV","Chevrolet","Trax","LS",0,17428,2020,"Connell Chevrolet","Costa Mesa",5,132,
"Used",0,"Sedan","Honda","Accord Hybrid","",29015,18810,2017,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Great Deal"
"New",0,"SUV","Nissan","Kicks","S",0,19255,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",0,48220,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Nissan","Kicks","SV",0,20885,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"Used",0,"SUV","Buick","Encore","Preferred",29612,12994,2017,"SC Car Zone","Costa Mesa",4.2,69,"Great Deal"
"New",0,"Sedan","Cadillac","CT5","Premium Luxury RWD",13,44715,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Buick","Encore","Preferred",3470,22324,2018,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Nissan","Kicks","SR",0,22100,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"Used",1,"Sedan","Acura","ILX","",44590,15500,2016,"DCH Tustin Acura","Tustin",4.9,448,"Great Deal"
"New",0,"Sedan","Chevrolet","Malibu","Premier",5,32043,2020,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"SUV","Nissan","Rogue","SL",0,33140,2019,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Nissan","Kicks","SV",0,20740,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"Sedan","Cadillac","CT5","Sport RWD",0,45304,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"Sedan","Cadillac","CT5","Premium Luxury RWD",0,43718,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"Coupe","Ferrari","488 Pista","",1116,435000,2019,"Ilusso","Costa Mesa",4,3,"Fair Price"
"Used",0,"Minivan","Dodge","Grand Caravan","GT",45779,16586,2019,"Hertz Car Sales Costa Mesa","Costa Mesa",0,7,"Good Deal"
"New",0,"SUV","Cadillac","Escalade ESV","Luxury",0,76137,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"Coupe","Ferrari","488 Pista","",783,495800,2019,"Ferrari Maserati of Newport Beach","Newport Beach",5,112,"Fair Price"
"New",0,"Convertible","Aston Martin","DB11","Volante",967,255556,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"Used",0,"Sedan","Nissan","Sentra","SR",29678,11499,2016,"California Motors Direct","Santa Ana",1.5,186,"Great Deal"
"New",0,"Convertible","Aston Martin","DB11","Volante",105,256636,2020,"Aston Martin Newport Beach","Newport Beach",0,0,
"New",0,"Sedan","Kia","Forte","FE",5,17650,2020,"Garden Grove Kia","Garden Grove",3,53,
"Used",0,"SUV","Toyota","FJ Cruiser","",110051,14988,2007,"Toyota of Huntington Beach","Huntington Beach",3.7,3,"Good Deal"
"Used",0,"Minivan","Chrysler","Pacifica","Touring-L",43522,19995,2019,"Huntington Beach Hyundai","Huntington Beach",4.4,402,"Great Deal"
"Used",0,"Hatchback","Nissan","Leaf","SL",58200,4700,2011,"Vision Hankook Motors, Inc.","Garden Grove",3,26,"Great Deal"
"Used",0,"SUV","Buick","Encore","Preferred",30110,12199,2017,"California Motors Direct","Stanton",2.9,177,
"New",0,"Wagon","Audi","A6 allroad","3.0T quattro Premium Plus",0,69740,2020,"Audi Mission Viejo","Mission Viejo",4.5,74,
"Used",1,"Sedan","Audi","A6","55 Premium Plus",10680,44500,2019,"Audi Mission Viejo","Mission Viejo",4.5,74,"Good Deal"
"Used",0,"Sedan","Nissan","Sentra","SV",54336,9199,2017,"California Motors Direct","Stanton",2.9,177,
"Used",0,"Sedan","Nissan","Altima","2.5 SL",41542,13927,2018,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Good Deal"
