"age","job","marital","education","default","balance","housing","loan","contact","campaign","durmin","previous","poutcome","pweek","subscribe"
28,"technician","divorced","tertiary","no",594,"yes","yes","unknown",3,0.9,0,"unknown",0,0
26,"unemployed","married","tertiary","no",454,"yes","yes","unknown",18,0.466666666666667,0,"unknown",0,0
54,"unknown","married","secondary","no",2206,"no","no","cellular",1,1.73333333333333,2,"other",14.1428571428571,1
38,"admin.","married","tertiary","no",1988,"no","no","cellular",2,2.73333333333333,2,"failure",18.5714285714286,1
32,"technician","single","tertiary","no",0,"no","no","cellular",2,4.46666666666667,0,"unknown",0,0
50,"admin.","divorced","secondary","no",202,"no","yes","cellular",1,2.46666666666667,0,"unknown",0,0
43,"blue-collar","married","secondary","no",667,"yes","no","unknown",3,3.8,0,"unknown",0,0
48,"admin.","married","secondary","no",112,"no","no","cellular",5,2.31666666666667,0,"unknown",0,0
57,"housemaid","married","primary","no",50,"no","no","cellular",3,1.48333333333333,0,"unknown",0,0
64,"housemaid","married","primary","no",768,"no","no","cellular",2,4.16666666666667,1,"success",26,0
26,"services","divorced","secondary","no",74,"yes","no","unknown",6,1.76666666666667,0,"unknown",0,0
33,"blue-collar","married","secondary","no",661,"yes","no","cellular",1,16.1333333333333,0,"unknown",0,1
50,"self-employed","married","secondary","no",3025,"no","yes","cellular",3,2.8,0,"unknown",0,0
47,"self-employed","married","tertiary","no",751,"no","no","cellular",14,6.8,0,"unknown",0,0
39,"management","single","tertiary","no",416,"no","no","cellular",4,0.933333333333333,0,"unknown",0,0
52,"services","married","primary","no",14,"no","yes","cellular",5,0.916666666666667,0,"unknown",0,0
31,"blue-collar","single","primary","no",-502,"yes","no","unknown",4,1.26666666666667,0,"unknown",0,0
50,"blue-collar","married","primary","no",0,"no","no","cellular",5,1.2,0,"unknown",0,0
47,"technician","married","secondary","no",599,"yes","no","cellular",3,1.65,0,"unknown",0,0
30,"management","single","tertiary","no",-218,"yes","no","cellular",15,0.216666666666667,0,"unknown",0,0
32,"technician","single","tertiary","no",1012,"no","no","cellular",1,2.96666666666667,0,"unknown",0,0
36,"technician","married","secondary","no",300,"no","no","unknown",1,4.78333333333333,0,"unknown",0,0
46,"technician","married","tertiary","no",217,"yes","no","cellular",1,2.35,2,"other",49.4285714285714,0
45,"management","divorced","tertiary","no",2096,"no","no","cellular",1,2.11666666666667,2,"failure",14.2857142857143,0
37,"technician","single","secondary","no",0,"no","no","cellular",2,1.15,0,"unknown",0,0
58,"housemaid","married","primary","no",5278,"yes","no","unknown",4,12.7166666666667,0,"unknown",0,0
59,"management","married","tertiary","no",1831,"no","no","cellular",1,2.03333333333333,1,"failure",13.1428571428571,0
28,"management","married","tertiary","no",1480,"yes","no","cellular",1,2.38333333333333,0,"unknown",0,0
48,"management","married","tertiary","no",7289,"yes","no","cellular",3,5.26666666666667,0,"unknown",0,0
55,"blue-collar","married","unknown","no",1665,"no","no","telephone",2,1.48333333333333,0,"unknown",0,0
37,"blue-collar","single","primary","no",851,"yes","no","cellular",1,2.51666666666667,1,"failure",50.2857142857143,0
41,"management","married","tertiary","no",2885,"no","no","cellular",1,0.666666666666667,0,"unknown",0,0
35,"blue-collar","married","secondary","no",137,"no","yes","unknown",1,0.0833333333333333,12,"failure",115.428571428571,0
34,"blue-collar","single","secondary","no",1239,"yes","no","cellular",1,1.5,0,"unknown",0,0
43,"management","single","tertiary","no",146,"no","no","cellular",1,0.833333333333333,5,"other",16.1428571428571,0
59,"technician","married","secondary","no",1,"no","no","cellular",2,2.65,3,"failure",54,1
50,"blue-collar","divorced","primary","no",-10,"no","yes","cellular",6,6.15,0,"unknown",0,0
37,"technician","married","secondary","no",480,"no","no","cellular",2,5.73333333333333,8,"other",26,1
35,"technician","married","secondary","no",2789,"yes","no","cellular",2,4.26666666666667,1,"failure",13.4285714285714,0
50,"technician","single","secondary","no",3897,"no","no","cellular",1,4.96666666666667,0,"unknown",0,0
36,"technician","divorced","secondary","no",487,"no","yes","cellular",3,4.46666666666667,0,"unknown",0,0
41,"admin.","married","secondary","no",5110,"yes","no","cellular",1,3.85,0,"unknown",0,0
28,"management","married","tertiary","no",318,"yes","no","unknown",4,0.0666666666666667,0,"unknown",0,0
42,"technician","single","tertiary","no",-411,"yes","no","cellular",5,1.3,3,"failure",41.7142857142857,0
60,"retired","married","secondary","no",4820,"no","no","unknown",1,6.98333333333333,0,"unknown",0,0
28,"management","single","tertiary","no",4937,"yes","no","telephone",3,7.01666666666667,0,"unknown",0,0
48,"entrepreneur","married","secondary","no",725,"no","yes","cellular",1,1.75,0,"unknown",0,0
51,"entrepreneur","married","tertiary","no",5403,"no","no","unknown",1,0.7,0,"unknown",0,0
32,"technician","married","tertiary","no",4089,"no","no","cellular",7,1.9,3,"failure",41,0
35,"technician","married","tertiary","no",188,"no","no","cellular",2,4.76666666666667,0,"unknown",0,0
37,"technician","married","unknown","no",189,"no","no","cellular",1,3.96666666666667,2,"success",15.2857142857143,1
38,"blue-collar","divorced","secondary","no",2998,"yes","no","unknown",1,1.51666666666667,0,"unknown",0,0
77,"retired","married","secondary","no",610,"no","no","cellular",3,12.7666666666667,0,"unknown",0,0
32,"management","single","unknown","no",787,"no","no","cellular",1,1.53333333333333,0,"unknown",0,0
43,"technician","divorced","secondary","no",167,"no","no","cellular",3,3.51666666666667,0,"unknown",0,0
36,"management","single","tertiary","no",243,"yes","no","cellular",2,2.66666666666667,3,"failure",51.4285714285714,0
29,"management","married","tertiary","no",877,"no","no","cellular",3,2.76666666666667,0,"unknown",0,0
32,"admin.","single","secondary","no",2817,"yes","no","cellular",1,3.25,0,"unknown",0,0
41,"management","divorced","tertiary","no",4567,"yes","yes","cellular",1,1.76666666666667,0,"unknown",0,0
26,"services","single","secondary","no",127,"yes","yes","cellular",3,1.41666666666667,0,"unknown",0,0
34,"blue-collar","married","primary","no",176,"no","no","cellular",1,1.3,0,"unknown",0,0
57,"retired","married","tertiary","no",0,"yes","yes","unknown",1,10.8,0,"unknown",0,1
36,"services","single","secondary","no",1482,"yes","no","cellular",2,2.95,1,"other",24.8571428571429,0
42,"blue-collar","married","secondary","no",3052,"yes","no","unknown",1,0.533333333333333,0,"unknown",0,0
35,"technician","divorced","secondary","no",56,"no","no","cellular",12,0.4,0,"unknown",0,0
52,"entrepreneur","divorced","primary","no",278,"yes","no","unknown",2,11.4666666666667,0,"unknown",0,0
36,"management","single","tertiary","no",3875,"yes","no","unknown",5,0.35,0,"unknown",0,0
46,"technician","married","secondary","no",-337,"yes","no","unknown",1,1.86666666666667,0,"unknown",0,0
60,"management","divorced","tertiary","no",366,"no","no","cellular",1,9.88333333333333,0,"unknown",0,1
57,"housemaid","married","primary","no",501,"yes","yes","cellular",2,0.983333333333333,0,"unknown",0,0
48,"management","married","tertiary","no",998,"yes","no","cellular",3,2.01666666666667,0,"unknown",0,0
59,"self-employed","married","primary","no",0,"yes","no","telephone",2,1.61666666666667,0,"unknown",0,0
39,"management","married","tertiary","no",246,"no","no","cellular",2,1.43333333333333,0,"unknown",0,0
44,"blue-collar","married","secondary","no",-182,"yes","yes","cellular",10,0.166666666666667,0,"unknown",0,0
27,"management","single","tertiary","no",446,"no","no","cellular",3,3.41666666666667,0,"unknown",0,0
59,"retired","married","secondary","no",1173,"no","no","unknown",2,1.28333333333333,0,"unknown",0,0
36,"technician","divorced","secondary","no",5957,"yes","no","cellular",2,2.3,0,"unknown",0,0
44,"admin.","married","secondary","no",205,"no","no","cellular",1,4.81666666666667,0,"unknown",0,1
50,"admin.","married","secondary","no",0,"no","no","cellular",4,1.43333333333333,0,"unknown",0,0
41,"management","divorced","tertiary","no",369,"yes","no","telephone",3,0.15,0,"unknown",0,0
47,"admin.","married","secondary","no",1934,"no","yes","cellular",1,3.75,1,"failure",52,0
32,"technician","single","tertiary","no",259,"no","no","cellular",4,6.78333333333333,0,"unknown",0,0
38,"blue-collar","married","secondary","no",284,"yes","yes","unknown",6,17.1666666666667,0,"unknown",0,0
55,"blue-collar","married","unknown","no",23,"no","no","cellular",2,2.05,0,"unknown",0,0
38,"management","single","tertiary","no",1373,"no","no","cellular",4,1.98333333333333,0,"unknown",0,0
31,"management","single","tertiary","no",62,"yes","no","cellular",1,2.91666666666667,5,"failure",41.8571428571429,0
38,"blue-collar","divorced","secondary","no",157,"no","no","unknown",5,4.98333333333333,0,"unknown",0,0
29,"unemployed","single","tertiary","no",991,"no","no","cellular",1,9.38333333333333,0,"unknown",0,0
55,"services","married","secondary","no",186,"yes","yes","unknown",1,4.01666666666667,0,"unknown",0,0
35,"unemployed","married","secondary","no",977,"yes","no","cellular",4,0.866666666666667,1,"other",13,0
40,"self-employed","single","tertiary","no",2893,"no","no","cellular",3,1.26666666666667,0,"unknown",0,0
34,"blue-collar","married","secondary","no",1897,"yes","yes","cellular",1,7.35,0,"unknown",0,0
32,"technician","single","tertiary","no",5514,"no","no","cellular",1,5.31666666666667,1,"success",26,1
33,"blue-collar","married","secondary","no",889,"yes","no","unknown",1,0.216666666666667,6,"success",53.2857142857143,0
33,"management","married","tertiary","no",273,"yes","no","unknown",1,13.3833333333333,0,"unknown",0,1
37,"admin.","married","secondary","no",1193,"no","no","cellular",2,6.6,0,"unknown",0,0
58,"management","married","tertiary","no",2729,"no","no","unknown",1,3.13333333333333,0,"unknown",0,0
36,"admin.","single","secondary","no",0,"no","no","cellular",1,10.6166666666667,0,"unknown",0,0
42,"blue-collar","married","secondary","no",230,"yes","no","unknown",7,2.91666666666667,0,"unknown",0,0
34,"technician","single","secondary","no",2729,"yes","no","cellular",1,15.75,1,"success",19.8571428571429,0
35,"management","married","tertiary","no",317,"yes","no","unknown",3,2.7,0,"unknown",0,0
60,"housemaid","married","primary","no",517,"no","no","unknown",3,19.6333333333333,0,"unknown",0,0
50,"management","married","tertiary","no",-470,"yes","no","cellular",2,8.43333333333333,3,"failure",24.2857142857143,0
28,"self-employed","single","tertiary","no",4579,"no","no","cellular",2,6.81666666666667,0,"unknown",0,1
27,"blue-collar","divorced","secondary","no",1,"yes","no","cellular",3,1.93333333333333,0,"unknown",0,0
37,"management","married","tertiary","no",5106,"no","no","cellular",1,4.06666666666667,0,"unknown",0,1
31,"technician","married","tertiary","no",636,"yes","no","cellular",4,5.86666666666667,0,"unknown",0,1
34,"services","married","secondary","no",1076,"no","no","cellular",1,2.53333333333333,6,"success",26,1
38,"management","married","tertiary","no",126,"yes","no","unknown",2,2.73333333333333,0,"unknown",0,0
32,"self-employed","married","secondary","no",-33,"yes","no","unknown",3,3.9,0,"unknown",0,0
37,"technician","married","secondary","no",430,"no","no","cellular",4,2.56666666666667,0,"unknown",0,0
33,"admin.","married","secondary","no",-6,"yes","no","unknown",2,9.43333333333333,0,"unknown",0,0
71,"technician","married","tertiary","no",383,"no","no","cellular",2,5.45,3,"success",26.1428571428571,0
27,"technician","married","secondary","no",130,"yes","no","cellular",3,4.41666666666667,0,"unknown",0,0
38,"blue-collar","married","primary","no",2569,"no","no","unknown",1,2.86666666666667,0,"unknown",0,0
34,"technician","single","secondary","no",201,"no","no","cellular",2,4.28333333333333,0,"unknown",0,0
54,"retired","divorced","tertiary","no",0,"no","no","unknown",1,10.3,0,"unknown",0,1
30,"blue-collar","married","secondary","no",6,"yes","no","cellular",3,4.01666666666667,0,"unknown",0,0
35,"entrepreneur","single","secondary","no",475,"no","yes","cellular",4,15.6,0,"unknown",0,0
33,"blue-collar","single","secondary","no",706,"yes","no","cellular",1,5.48333333333333,1,"failure",46,0
36,"management","married","secondary","no",1825,"yes","no","cellular",1,0.4,1,"failure",49.4285714285714,0
59,"self-employed","married","tertiary","no",185,"no","no","cellular",5,2.95,1,"failure",19.7142857142857,0
72,"blue-collar","married","primary","no",4415,"no","no","telephone",1,2,0,"unknown",0,0
64,"management","married","tertiary","no",679,"no","no","telephone",3,2.25,0,"unknown",0,0
53,"technician","divorced","secondary","no",320,"no","no","cellular",1,2.91666666666667,0,"unknown",0,0
35,"management","single","tertiary","no",2988,"yes","no","cellular",1,2.98333333333333,0,"unknown",0,0
58,"self-employed","married","secondary","no",1407,"yes","no","unknown",1,0.966666666666667,0,"unknown",0,0
40,"technician","married","secondary","no",1270,"no","no","cellular",2,5.7,0,"unknown",0,0
41,"services","divorced","secondary","no",654,"yes","no","cellular",2,2.31666666666667,0,"unknown",0,0
48,"retired","married","primary","no",5173,"yes","no","unknown",8,1.46666666666667,0,"unknown",0,0
44,"entrepreneur","married","tertiary","no",3463,"yes","yes","cellular",3,3.5,0,"unknown",0,0
39,"blue-collar","married","unknown","no",0,"no","no","cellular",1,12.1833333333333,3,"failure",27.5714285714286,0
61,"management","married","tertiary","no",6016,"no","no","cellular",3,11.1666666666667,0,"unknown",0,1
36,"entrepreneur","married","primary","no",177,"yes","no","unknown",5,1.05,0,"unknown",0,0
28,"management","married","tertiary","no",3694,"no","yes","cellular",2,1.16666666666667,0,"unknown",0,0
58,"retired","single","secondary","no",1640,"no","yes","cellular",6,1.2,4,"failure",39.1428571428571,0
60,"admin.","divorced","secondary","no",174,"yes","no","cellular",1,4.01666666666667,1,"failure",52,0
66,"admin.","single","secondary","no",10177,"no","no","cellular",4,4.53333333333333,0,"unknown",0,0
36,"management","single","tertiary","no",490,"no","no","cellular",8,3.45,1,"failure",14,1
49,"self-employed","married","secondary","no",2576,"yes","no","cellular",6,1.06666666666667,0,"unknown",0,0
40,"services","married","secondary","no",0,"no","no","unknown",2,9.05,0,"unknown",0,0
23,"technician","single","secondary","no",598,"no","no","cellular",1,2.76666666666667,0,"unknown",0,0
29,"management","single","tertiary","no",15459,"no","no","cellular",3,4.08333333333333,7,"success",13.8571428571429,0
44,"blue-collar","married","primary","no",271,"yes","yes","unknown",1,1.56666666666667,0,"unknown",0,0
54,"unknown","married","unknown","no",2508,"no","no","unknown",8,0.566666666666667,0,"unknown",0,0
47,"blue-collar","married","primary","no",320,"no","no","telephone",2,3.38333333333333,0,"unknown",0,0
33,"admin.","married","tertiary","no",640,"no","no","cellular",1,5.3,0,"unknown",0,0
30,"self-employed","married","secondary","no",1772,"yes","no","cellular",4,2.63333333333333,0,"unknown",0,0
27,"admin.","single","secondary","no",15,"no","yes","cellular",1,2.95,0,"unknown",0,0
49,"management","divorced","tertiary","no",2370,"yes","yes","unknown",1,0.933333333333333,2,"other",14.7142857142857,0
27,"services","single","secondary","no",201,"yes","no","unknown",2,2.86666666666667,0,"unknown",0,0
51,"blue-collar","married","secondary","no",160,"yes","no","cellular",1,2.26666666666667,1,"failure",51.2857142857143,0
32,"admin.","divorced","secondary","yes",5,"yes","yes","cellular",3,1.36666666666667,2,"other",51.8571428571429,0
30,"blue-collar","single","secondary","no",75,"yes","no","unknown",1,2.05,0,"unknown",0,0
33,"admin.","married","secondary","no",4902,"yes","no","cellular",1,1.83333333333333,0,"unknown",0,0
27,"blue-collar","single","primary","no",-79,"yes","no","unknown",5,6.41666666666667,0,"unknown",0,0
75,"retired","divorced","secondary","no",1341,"no","no","cellular",7,6.91666666666667,0,"unknown",0,1
37,"services","divorced","secondary","no",490,"yes","no","cellular",1,1.21666666666667,0,"unknown",0,0
36,"technician","single","secondary","no",1521,"yes","no","unknown",2,4.05,0,"unknown",0,0
37,"blue-collar","married","secondary","no",131,"yes","no","unknown",2,2.28333333333333,0,"unknown",0,0
35,"management","married","tertiary","no",8,"yes","no","unknown",4,0.916666666666667,0,"unknown",0,0
32,"services","married","secondary","no",-632,"yes","yes","cellular",5,0.3,0,"unknown",0,0
32,"admin.","single","secondary","no",116,"no","yes","cellular",2,4.25,0,"unknown",0,0
35,"admin.","married","primary","no",189,"yes","no","cellular",1,1.58333333333333,0,"unknown",0,0
31,"blue-collar","married","primary","no",2,"yes","yes","cellular",1,1.86666666666667,0,"unknown",0,0
28,"blue-collar","single","secondary","no",4229,"yes","yes","cellular",2,3.41666666666667,0,"unknown",0,0
27,"services","married","secondary","no",54,"yes","no","cellular",1,1.61666666666667,1,"failure",52.8571428571429,0
22,"student","single","unknown","no",549,"no","no","cellular",1,2.56666666666667,0,"unknown",0,0
35,"blue-collar","married","primary","no",298,"yes","no","cellular",2,2.25,2,"failure",52.8571428571429,0
69,"retired","married","primary","no",579,"no","no","cellular",1,3.83333333333333,0,"unknown",0,0
37,"entrepreneur","single","tertiary","no",1467,"yes","yes","cellular",1,5.81666666666667,0,"unknown",0,0
45,"admin.","single","secondary","no",0,"yes","no","cellular",1,0.633333333333333,0,"unknown",0,0
47,"management","married","tertiary","no",109,"yes","no","cellular",1,4.46666666666667,0,"unknown",0,0
52,"management","married","tertiary","no",-11,"yes","no","cellular",4,1.56666666666667,0,"unknown",0,0
33,"services","married","secondary","no",90,"yes","no","cellular",2,4.38333333333333,0,"unknown",0,0
60,"blue-collar","married","primary","no",493,"no","no","cellular",4,11.1833333333333,0,"unknown",0,1
33,"management","divorced","secondary","no",1897,"yes","yes","unknown",1,3.28333333333333,0,"unknown",0,0
44,"admin.","married","secondary","no",2403,"yes","no","cellular",2,3,0,"unknown",0,0
38,"entrepreneur","married","secondary","no",868,"no","no","cellular",2,7.53333333333333,0,"unknown",0,0
54,"entrepreneur","married","secondary","no",653,"yes","no","unknown",1,5.86666666666667,0,"unknown",0,0
32,"unemployed","divorced","primary","no",0,"no","no","cellular",4,2.91666666666667,0,"unknown",0,0
33,"technician","married","secondary","no",0,"yes","yes","cellular",2,2.71666666666667,0,"unknown",0,0
55,"services","divorced","secondary","no",218,"yes","no","unknown",2,3.33333333333333,0,"unknown",0,0
51,"blue-collar","married","primary","no",5050,"no","yes","unknown",7,1.25,0,"unknown",0,0
48,"blue-collar","married","secondary","no",741,"yes","no","cellular",1,3.78333333333333,0,"unknown",0,0
37,"services","single","secondary","no",1050,"yes","no","cellular",3,9.76666666666667,0,"unknown",0,0
33,"services","single","secondary","no",-56,"no","yes","cellular",5,1.98333333333333,0,"unknown",0,0
30,"blue-collar","married","primary","no",1,"yes","yes","telephone",2,1.33333333333333,0,"unknown",0,0
43,"blue-collar","married","primary","no",-98,"yes","yes","cellular",2,1.86666666666667,3,"other",47.1428571428571,0
49,"technician","married","secondary","no",4667,"yes","no","unknown",2,2.16666666666667,0,"unknown",0,0
54,"unemployed","married","primary","no",541,"yes","no","cellular",3,3.95,0,"unknown",0,0
31,"unemployed","married","tertiary","no",7744,"no","no","cellular",8,6.28333333333333,0,"unknown",0,0
54,"unknown","married","unknown","no",895,"no","no","cellular",1,5.58333333333333,0,"unknown",0,1
36,"unemployed","married","secondary","no",-129,"yes","no","cellular",3,2.01666666666667,0,"unknown",0,0
30,"admin.","married","secondary","no",0,"no","no","cellular",5,2.11666666666667,0,"unknown",0,0
27,"technician","single","secondary","no",158,"no","no","unknown",2,10.8333333333333,0,"unknown",0,1
30,"admin.","married","secondary","no",122,"yes","no","unknown",1,1.78333333333333,0,"unknown",0,0
30,"blue-collar","married","secondary","no",673,"yes","no","unknown",2,10.1666666666667,0,"unknown",0,0
35,"technician","divorced","secondary","no",0,"no","no","cellular",4,2.06666666666667,0,"unknown",0,0
33,"services","divorced","secondary","no",411,"yes","no","unknown",1,3.6,0,"unknown",0,0
43,"blue-collar","divorced","primary","no",-97,"yes","yes","cellular",4,12.45,0,"unknown",0,0
41,"blue-collar","married","secondary","no",-217,"yes","no","cellular",1,5.21666666666667,3,"other",49.8571428571429,0
41,"management","divorced","tertiary","no",5037,"no","no","cellular",9,4.2,5,"other",26.4285714285714,1
46,"admin.","divorced","secondary","no",2232,"no","no","cellular",1,2.01666666666667,0,"unknown",0,1
54,"blue-collar","married","secondary","no",-932,"yes","no","unknown",1,13.3166666666667,0,"unknown",0,0
32,"management","married","tertiary","no",913,"yes","no","cellular",1,14.7166666666667,4,"failure",96.2857142857143,0
30,"technician","single","tertiary","no",236,"yes","no","unknown",1,3.28333333333333,0,"unknown",0,0
40,"entrepreneur","married","primary","no",0,"yes","no","cellular",2,4.51666666666667,0,"unknown",0,0
30,"blue-collar","married","primary","no",2581,"no","no","unknown",2,3.68333333333333,0,"unknown",0,0
27,"admin.","married","secondary","no",639,"no","yes","cellular",3,4.05,0,"unknown",0,0
41,"blue-collar","married","primary","no",849,"yes","no","unknown",1,1.2,0,"unknown",0,0
54,"services","married","secondary","no",386,"yes","no","cellular",2,2.58333333333333,0,"unknown",0,0
32,"management","single","tertiary","no",1218,"yes","no","telephone",2,1.16666666666667,0,"unknown",0,0
31,"management","married","tertiary","no",2603,"yes","no","cellular",4,4.66666666666667,0,"unknown",0,1
42,"blue-collar","married","secondary","no",-921,"yes","no","unknown",2,1.91666666666667,0,"unknown",0,0
48,"admin.","married","primary","no",607,"no","no","unknown",2,0.483333333333333,0,"unknown",0,0
34,"blue-collar","married","primary","no",79,"yes","no","cellular",2,6.76666666666667,0,"unknown",0,0
55,"technician","divorced","secondary","no",61,"yes","yes","cellular",3,1.88333333333333,0,"unknown",0,0
49,"technician","married","secondary","no",1091,"no","no","telephone",2,0.783333333333333,0,"unknown",0,0
46,"management","divorced","tertiary","no",743,"no","no","unknown",2,0.6,0,"unknown",0,0
47,"entrepreneur","married","unknown","no",209,"yes","no","unknown",2,2.25,0,"unknown",0,0
24,"management","single","tertiary","no",172,"no","no","cellular",2,1.11666666666667,0,"unknown",0,0
58,"entrepreneur","married","secondary","no",2,"no","no","unknown",1,11.4,0,"unknown",0,0
32,"management","single","tertiary","no",41,"no","no","cellular",5,11.4333333333333,0,"unknown",0,1
25,"student","single","secondary","no",1116,"yes","no","cellular",3,2.83333333333333,0,"unknown",0,0
49,"blue-collar","married","secondary","no",-55,"no","no","unknown",3,2.5,0,"unknown",0,0
59,"retired","divorced","secondary","no",5845,"no","no","cellular",2,17.6666666666667,0,"unknown",0,1
30,"management","single","tertiary","no",329,"yes","no","unknown",16,2.03333333333333,0,"unknown",0,0
46,"blue-collar","married","secondary","no",494,"yes","no","unknown",1,12.0666666666667,0,"unknown",0,0
42,"management","married","unknown","no",1519,"no","no","cellular",1,3.83333333333333,1,"success",13.1428571428571,1
37,"entrepreneur","married","tertiary","no",2685,"no","no","unknown",2,3.11666666666667,0,"unknown",0,0
44,"blue-collar","married","primary","no",-14,"yes","yes","unknown",4,2.98333333333333,0,"unknown",0,0
49,"services","married","secondary","no",5673,"no","yes","cellular",3,5.95,0,"unknown",0,0
41,"blue-collar","married","secondary","no",1459,"no","no","unknown",1,1.36666666666667,0,"unknown",0,0
48,"technician","married","tertiary","no",0,"no","no","telephone",15,2.93333333333333,0,"unknown",0,0
31,"management","married","secondary","no",625,"yes","no","cellular",1,7.06666666666667,1,"failure",19.7142857142857,0
37,"student","married","unknown","no",0,"no","no","unknown",1,1.91666666666667,0,"unknown",0,0
51,"services","married","secondary","no",867,"yes","no","cellular",2,2.95,3,"failure",30.1428571428571,0
80,"retired","married","secondary","no",8304,"no","no","telephone",1,11.8666666666667,12,"failure",9.14285714285714,1
32,"management","single","tertiary","no",151,"yes","no","unknown",1,1.96666666666667,0,"unknown",0,0
48,"services","married","primary","yes",-583,"yes","no","unknown",7,0.416666666666667,0,"unknown",0,0
49,"blue-collar","married","tertiary","no",1784,"no","no","unknown",1,12.55,0,"unknown",0,0
30,"management","married","tertiary","no",3134,"yes","no","cellular",1,2.06666666666667,0,"unknown",0,0
27,"self-employed","single","secondary","no",49,"yes","no","cellular",2,3.46666666666667,0,"unknown",0,0
34,"technician","married","secondary","no",-346,"no","no","cellular",4,2.26666666666667,0,"unknown",0,0
49,"management","married","secondary","no",1623,"yes","no","cellular",2,18.0166666666667,0,"unknown",0,1
48,"management","married","tertiary","no",60,"no","no","telephone",2,6.26666666666667,7,"failure",48.4285714285714,0
40,"services","married","secondary","no",17,"no","no","cellular",1,1.3,0,"unknown",0,0
38,"blue-collar","married","secondary","no",2008,"yes","no","cellular",1,5.9,0,"unknown",0,0
46,"blue-collar","married","primary","no",91,"yes","no","cellular",1,0.483333333333333,2,"failure",50.8571428571429,0
41,"entrepreneur","married","tertiary","no",171,"yes","no","cellular",1,3.48333333333333,4,"failure",27.2857142857143,0
28,"management","single","tertiary","no",1027,"yes","no","cellular",1,7.21666666666667,0,"unknown",0,0
51,"services","married","unknown","no",5801,"yes","no","unknown",2,2.45,0,"unknown",0,0
33,"blue-collar","divorced","primary","no",142,"yes","no","telephone",2,0.683333333333333,5,"failure",42.8571428571429,0
26,"management","single","tertiary","no",205,"no","no","unknown",1,1.85,0,"unknown",0,0
34,"admin.","single","secondary","no",852,"no","no","cellular",2,1.8,0,"unknown",0,0
27,"blue-collar","married","secondary","yes",-584,"yes","no","cellular",2,6.85,0,"unknown",0,0
42,"self-employed","married","secondary","no",97,"no","no","cellular",2,1.8,0,"unknown",0,0
45,"admin.","married","secondary","no",204,"yes","no","cellular",2,3.73333333333333,0,"unknown",0,1
31,"technician","single","secondary","no",628,"yes","no","unknown",2,18.05,0,"unknown",0,0
32,"management","single","tertiary","no",311,"no","no","unknown",2,12.6166666666667,0,"unknown",0,1
39,"blue-collar","married","primary","no",1564,"no","no","unknown",1,0.95,0,"unknown",0,0
26,"blue-collar","single","secondary","no",856,"yes","yes","cellular",5,1.58333333333333,0,"unknown",0,0
40,"management","single","tertiary","no",1509,"no","no","cellular",2,2.4,1,"failure",17.7142857142857,0
52,"services","married","secondary","no",-888,"no","no","cellular",1,2.25,0,"unknown",0,0
40,"technician","single","tertiary","no",226,"no","no","cellular",2,2.93333333333333,0,"unknown",0,0
48,"technician","married","secondary","no",127,"no","yes","cellular",5,8.73333333333333,0,"unknown",0,0
31,"services","married","secondary","no",413,"yes","no","unknown",1,1.08333333333333,0,"unknown",0,0
27,"admin.","married","secondary","no",710,"yes","yes","cellular",1,10.8833333333333,2,"success",47.7142857142857,1
47,"technician","married","secondary","no",1233,"yes","no","unknown",1,1.51666666666667,2,"other",14.2857142857143,1
28,"management","single","secondary","no",171,"no","no","cellular",1,1.55,0,"unknown",0,1
40,"management","divorced","tertiary","no",69,"yes","no","cellular",2,8.38333333333333,2,"failure",40,0
34,"admin.","married","secondary","no",1499,"yes","no","cellular",1,3.1,2,"failure",46.7142857142857,0
29,"self-employed","married","tertiary","no",751,"yes","no","unknown",2,2.01666666666667,0,"unknown",0,0
36,"management","married","tertiary","no",61,"no","yes","cellular",2,7.53333333333333,0,"unknown",0,0
83,"retired","married","primary","no",425,"no","no","telephone",1,14.7166666666667,1,"failure",20,1
55,"services","divorced","primary","no",2923,"yes","no","unknown",2,1.73333333333333,0,"unknown",0,0
43,"management","divorced","tertiary","no",99,"no","no","cellular",3,0.4,0,"unknown",0,0
23,"student","single","secondary","no",1021,"no","no","telephone",9,1.31666666666667,0,"unknown",0,0
44,"technician","married","tertiary","no",1146,"no","no","cellular",2,2.96666666666667,0,"unknown",0,0
58,"blue-collar","married","primary","no",781,"yes","no","cellular",2,1.23333333333333,0,"unknown",0,0
29,"admin.","single","secondary","no",1448,"no","no","cellular",1,3.61666666666667,7,"other",26.2857142857143,0
30,"management","single","tertiary","no",604,"no","yes","cellular",1,7.91666666666667,0,"unknown",0,0
29,"admin.","single","secondary","no",-194,"yes","no","cellular",1,2.11666666666667,0,"unknown",0,0
41,"technician","married","secondary","no",0,"no","no","cellular",1,1.68333333333333,0,"unknown",0,0
35,"housemaid","married","primary","no",0,"yes","no","cellular",3,5.66666666666667,0,"unknown",0,0
31,"technician","single","secondary","no",1014,"yes","no","cellular",4,2.63333333333333,0,"unknown",0,0
27,"admin.","single","tertiary","no",73,"no","no","cellular",1,4.03333333333333,0,"unknown",0,0
47,"services","married","secondary","no",2597,"yes","no","unknown",1,5.38333333333333,0,"unknown",0,0
53,"self-employed","married","tertiary","no",2627,"yes","yes","unknown",30,0.3,0,"unknown",0,0
34,"management","married","tertiary","no",1906,"yes","no","cellular",3,1.13333333333333,0,"unknown",0,0
